Date,Gas (GJ),Coal (GJ),Oil (GJ),Renewables (GJ),Others (GJ),Sum (GJ)
2019-09-01,14216.3,0.0,683.8000000000001,129.79999999999998,2311.0,15029.900000000001
2019-10-01,14229.1,0.0,683.8000000000001,129.79999999999998,2311.0,15042.700000000003
2019-11-01,14229.1,0.0,683.8000000000001,139.39999999999998,2311.0,15052.300000000003
2019-12-01,14226.1,0.0,686.8000000000001,149.39999999999998,2311.0,15062.300000000003
2020-01-01,13929.699999999999,0.0,687.4000000000001,149.39999999999998,2311.0,14766.5
2020-02-01,13929.699999999999,0.0,711.6999999999999,146.39999999999998,2311.0,14787.8
2020-03-01,13933.6,0.0,714.4,146.39999999999998,2311.0,14794.400000000001
2020-04-01,15529.0,0.0,713.6,146.39999999999998,1012.0,16389.0
2020-05-01,15244.6,0.0,713.6,156.29999999999998,1012.0,16114.500000000002
2020-06-01,15244.6,0.0,713.6,160.29999999999998,1016.0,16118.500000000002
2020-07-01,15244.6,0.0,713.6,162.29999999999998,1016.0,16120.500000000002
2020-08-01,15244.6,0.0,714.8,162.29999999999998,1016.0,16121.7
2020-09-01,15244.6,0.0,714.8,168.29999999999998,1016.0,16127.7
2020-10-01,15244.6,0.0,714.8,177.29999999999998,1019.0,16136.7
2020-11-01,15244.6,0.0,714.8,177.29999999999998,1019.0,16136.7
2020-12-01,15244.6,0.0,721.8,178.29999999999998,1024.1,16144.7
2021-01-01,15244.300000000001,0.0,716.1,178.29999999999998,1027.1,16138.700000000003
2021-02-01,15244.300000000001,0.0,716.1,180.1,1027.1,16140.500000000002
2021-03-01,15244.300000000001,0.0,716.1,190.0,1027.1,16150.400000000001
2021-04-01,15244.300000000001,0.0,716.1,190.0,15.1,16150.400000000001
2021-05-01,15244.300000000001,0.0,716.1,190.0,15.1,16150.400000000001
2021-06-01,15251.800000000001,0.0,716.1,189.9,17.1,16157.800000000003
2021-07-01,15251.800000000001,0.0,716.1,189.9,17.1,16157.800000000003
2021-08-01,15251.800000000001,0.0,716.1,190.9,17.1,16158.800000000003
2021-09-01,15251.800000000001,0.0,716.1,190.9,17.1,16158.800000000003
2021-10-01,15251.800000000001,0.0,716.1,190.9,17.1,16158.800000000003
2021-11-01,15251.800000000001,0.0,716.1,196.9,17.1,16164.800000000003
2021-12-01,15251.800000000001,0.0,716.1,210.6,21.6,16178.500000000002
2022-01-01,15252.1,0.0,734.1,206.7,21.6,16192.900000000001
2022-02-01,15252.1,0.0,736.3,206.7,21.6,16195.1
2022-03-01,15259.6,0.0,736.0,206.7,21.6,16202.300000000001
2022-04-01,15259.6,0.0,734.8000000000001,213.7,21.6,16208.100000000002
2022-05-01,15259.3,0.0,734.8000000000001,212.89999999999998,21.6,16207.0
2022-06-01,15259.3,0.0,734.8000000000001,212.89999999999998,21.6,16207.0
2022-07-01,15319.8,0.0,654.3000000000001,219.7,21.6,16193.800000000001
2022-08-01,15324.8,0.0,654.3000000000001,223.7,21.6,16202.800000000001
2022-09-01,15324.8,0.0,654.3000000000001,228.29999999999998,21.6,16207.400000000001
2022-10-01,15324.8,0.0,654.3000000000001,238.89999999999998,21.6,16218.0
2022-11-01,15324.8,0.0,621.7,239.39999999999998,22.3,16185.900000000001
2022-12-01,15324.8,0.0,621.7,239.39999999999998,22.3,16185.900000000001
2023-01-01,15330.0,0.0,622.3000000000001,260.2,32.3,16212.5
2023-02-01,15286.599999999999,0.0,621.9,265.2,32.3,16173.7
2023-03-01,15296.599999999999,0.0,622.1,271.9,32.3,16190.6
